threshold,acc,f1,balanced_acc,precision,recall,tp,tn,fp,fn
0.82274403,0.66,0.43333333333333335,0.5946180555555556,0.5416666666666666,0.3611111111111111,13,53,11,23
0.827623,0.65,0.4067796610169491,0.5807291666666666,0.5217391304347826,0.3333333333333333,12,53,11,24
0.83295517,0.64,0.37931034482758624,0.5668402777777778,0.5,0.3055555555555556,11,53,11,25
0.841069125,0.63,0.3508771929824561,0.5529513888888888,0.47619047619047616,0.2777777777777778,10,53,11,26
0.8449873,0.62,0.32142857142857145,0.5390625,0.45,0.25,9,53,11,27
0.849115665,0.63,0.32727272727272727,0.546875,0.47368421052631576,0.25,9,54,10,27
0.85357159,0.64,0.3333333333333333,0.5546875,0.5,0.25,9,55,9,27
0.857044845,0.65,0.33962264150943394,0.5625,0.5294117647058824,0.25,9,56,8,27
0.860411965,0.64,0.30769230769230765,0.5486111111111112,0.5,0.2222222222222222,8,56,8,28
0.866190925,0.63,0.27450980392156865,0.5347222222222222,0.4666666666666667,0.19444444444444445,7,56,8,29
0.872933355,0.64,0.28,0.5425347222222222,0.5,0.19444444444444445,7,57,7,29
0.8793705,0.63,0.2448979591836735,0.5286458333333334,0.46153846153846156,0.16666666666666666,6,57,7,30
0.8848181749999999,0.62,0.20833333333333334,0.5147569444444444,0.4166666666666667,0.1388888888888889,5,57,7,31
0.8861923700000001,0.61,0.1702127659574468,0.5008680555555556,0.36363636363636365,0.1111111111111111,4,57,7,32
0.8883629500000001,0.62,0.1739130434782609,0.5086805555555556,0.4,0.1111111111111111,4,58,6,32
0.89007059,0.61,0.13333333333333333,0.4947916666666667,0.3333333333333333,0.08333333333333333,3,58,6,33
0.89104065,0.6,0.0909090909090909,0.4809027777777778,0.25,0.05555555555555555,2,58,6,34
0.90096111,0.59,0.046511627906976744,0.4670138888888889,0.14285714285714285,0.027777777777777776,1,58,6,35
0.911121225,0.58,0.0,0.453125,0.0,0.0,0,58,6,36
0.913939225,0.59,0.0,0.4609375,0.0,0.0,0,59,5,36
0.92161392,0.6,0.0,0.46875,0.0,0.0,0,60,4,36
0.93206287,0.61,0.0,0.4765625,0.0,0.0,0,61,3,36
0.94303883,0.62,0.0,0.484375,0.0,0.0,0,62,2,36
0.953102575,0.63,0.0,0.4921875,0.0,0.0,0,63,1,36
0.9570077100000001,0.64,0.0,0.5,0.0,0.0,0,64,0,36
